torque_1,torque_1_t,torque_2,torque_2_t
-0.35,0.175,1,-0.503125
0.56875,-0.284375,0.0875,-0.04375
-0.30625,0.153125,-0.6125,0.30625
-0.2625,0.13125,0.04375,-0.021875
0.4375,-0.21875,0.175,-0.0875
0.48125,-0.240625,-0.04375,0.021875
-0.30625,0.153125,0,0
-0.2625,0.13125,-0.04375,0.021875
-0.30625,0.153125,-0.04375,0.021875
-0.30625,0.153125,-0.04375,0.021875
-0.30625,0.153125,-0.04375,0.021875
0.4375,-0.21875,-0.04375,0.021875
0.4375,-0.21875,-0.13125,0.065625
-0.39375,0.196875,-0.0875,0.04375
-0.2625,0.13125,0,0
0.525,-0.2625,-0.13125,0.065625
-0.30625,0.153125,-0.04375,0.021875
0.48125,-0.240625,-0.175,0.0875
0.4375,-0.21875,-0.04375,0.021875
0.4375,-0.21875,1,-0.590625
0.48125,-0.240625,-0.0875,0.04375
-0.30625,0.153125,-0.74375,0.371875
-0.35,0.175,-0.6125,0.30625
-0.30625,0.153125,0.7,-0.35
0.56875,-0.284375,0.74375,-0.371875
-0.39375,0.196875,-0.6125,0.30625
-0.2625,0.13125,-0.525,0.2625
-0.2625,0.13125,-0.4375,0.21875
0.4375,-0.21875,0.74375,-0.371875
0.525,-0.2625,0.7,-0.35
0.4375,-0.21875,-0.39375,0.196875
-0.30625,0.153125,-0.875,0.4375
-0.4375,0.21875,0.39375,-0.196875
0.48125,-0.240625,0.91875,-0.459375
-0.2625,0.13125,-0.0875,0.04375
-0.56875,0.284375,-0.7,0.35
0.39375,-0.196875,-0.0875,0.04375
0.2625,-0.13125,0.48125,-0.240625
0.525,-0.2625,0.175,-0.0875
-0.30625,0.153125,-0.35,0.175
0.48125,-0.240625,-0.525,0.2625
0.39375,-0.196875,0.30625,-0.153125
0.7875,-0.39375,0.35,-0.175
-0.35,0.175,0,0
0.35,-0.175,-0.0875,0.04375
-0.2625,0.13125,-0.39375,0.196875
0.4375,-0.21875,-0.175,0.0875
0.4375,-0.21875,0.9625,-0.48125
-0.30625,0.153125,0.04375,-0.021875
0.21875,-0.109375,-0.74375,0.371875
-0.30625,0.153125,-0.2625,0.13125
0.35,-0.175,0.39375,-0.196875
-0.2625,0.13125,0.21875,-0.109375
0.4375,-0.21875,-0.175,0.0875
-0.30625,0.153125,-0.13125,0.065625
-0.2625,0.13125,-0.0875,0.04375
0.525,-0.2625,-0.04375,0.021875
-0.30625,0.153125,0.13125,-0.065625
0.525,-0.2625,0.56875,-0.284375
-0.35,0.175,-0.13125,0.065625
0.39375,-0.196875,-0.56875,0.284375
0.4375,-0.21875,-0.39375,0.196875
-0.2625,0.13125,0.74375,-0.371875
-0.4375,0.21875,0.7,-0.35
-0.30625,0.153125,-0.56875,0.284375
0.65625,-0.328125,-0.65625,0.328125
-0.39375,0.196875,0.6125,-0.30625
-0.2625,0.13125,0.83125,-0.415625
-0.4375,0.21875,-0.35,0.175
-0.30625,0.153125,-0.6125,0.30625
0.39375,-0.196875,0,0
0.6125,-0.30625,0.65625,-0.328125
-0.2625,0.13125,0,0
-0.30625,0.153125,-0.525,0.2625
-0.30625,0.153125,-0.35,0.175
-0.39375,0.196875,0.525,-0.2625
0.4375,-0.21875,0.7,-0.35
-0.35,0.175,-0.35,0.175
-0.35,0.175,-0.525,0.2625
-0.30625,0.153125,-0.0875,0.04375
0.35,-0.175,0.35,-0.175
-0.21875,0.109375,-0.04375,0.021875
0.4375,-0.21875,-0.21875,0.109375
0.4375,-0.21875,-0.2625,0.13125
0.4375,-0.21875,0.04375,-0.021875
0.48125,-0.240625,0.83125,-0.415625
-0.2625,0.13125,-0.175,0.0875
-0.2625,0.13125,-0.4375,0.21875
0.4375,-0.21875,-0.30625,0.153125
0.4375,-0.21875,0.6125,-0.30625
0.4375,-0.21875,0.6125,-0.30625
-0.30625,0.153125,-0.39375,0.196875
-0.35,0.175,-0.525,0.2625
-0.35,0.175,-0.0875,0.04375
0.4375,-0.21875,0.7,-0.35
0.6125,-0.30625,-0.04375,0.021875
0.48125,-0.240625,-0.4375,0.21875
-0.30625,0.153125,-0.175,0.0875
0.35,-0.175,0.56875,-0.284375
-0.35,0.175,0.56875,-0.284375
0.39375,-0.196875,-0.4375,0.21875
-0.30625,0.153125,-0.525,0.2625
0.4375,-0.21875,-0.04375,0.021875
-0.30625,0.153125,0.35,-0.175
0.4375,-0.21875,-0.04375,0.021875
0.4375,-0.21875,-0.4375,0.21875
-0.175,0.0875,-0.04375,0.021875
-0.2625,0.13125,0.6125,-0.30625
-0.30625,0.153125,0.4375,-0.21875
-0.4375,0.21875,-0.6125,0.30625
-0.30625,0.153125,-0.56875,0.284375
-0.30625,0.153125,0.56875,-0.284375
0.6125,-0.30625,0.7,-0.35
0.48125,-0.240625,-0.48125,0.240625
0.4375,-0.21875,-0.48125,0.240625
-0.30625,0.153125,-0.2625,0.13125
0.4375,-0.21875,0.56875,-0.284375
0.4375,-0.21875,0.6125,-0.30625
0.4375,-0.21875,-0.2625,0.13125
0.6125,-0.30625,-0.74375,0.371875
0.4375,-0.21875,-0.0875,0.04375
-0.35,0.175,0.7,-0.35
0.525,-0.2625,0,0
0.525,-0.2625,-0.56875,0.284375
0.6125,-0.30625,-0.13125,0.065625
-0.2625,0.13125,0.7,-0.35
-0.35,0.175,-0.30625,0.153125
-0.48125,0.240625,-0.39375,0.196875
-0.30625,0.153125,-0.175,0.0875
-0.39375,0.196875,0.56875,-0.284375
-0.35,0.175,0.6125,-0.30625
-0.30625,0.153125,-0.35,0.175
0.4375,-0.21875,-0.6125,0.30625
-0.39375,0.196875,-0.0875,0.04375
-0.30625,0.153125,0.56875,-0.284375
-0.30625,0.153125,-0.39375,0.196875
0.39375,-0.196875,-0.65625,0.328125
-0.35,0.175,0.56875,-0.284375
0.30625,-0.153125,0.175,-0.0875
-0.2625,0.13125,-0.175,0.0875
-0.525,0.2625,-0.48125,0.240625
0.6125,-0.30625,-0.2625,0.13125
-0.30625,0.153125,0.7,-0.35
0.48125,-0.240625,0.7,-0.35
-0.48125,0.240625,-0.30625,0.153125
0.4375,-0.21875,-0.875,0.4375
0.39375,-0.196875,-0.175,0.0875
0.4375,-0.21875,0.83125,-0.415625
0.7875,-0.39375,-0.13125,0.065625
-0.30625,0.153125,-0.48125,0.240625
0.39375,-0.196875,-0.13125,0.065625
0.4375,-0.21875,1,-0.546875
-0.2625,0.13125,0.56875,-0.284375
-0.30625,0.153125,-0.9625,0.48125
0.65625,-0.328125,-0.7,0.35
0.04375,-0.021875,0.6125,-0.30625
0.65625,-0.328125,0.83125,-0.415625
-0.30625,0.153125,-0.4375,0.21875
-0.35,0.175,-0.6125,0.30625
-0.30625,0.153125,-0.04375,0.021875
-0.30625,0.153125,0.525,-0.2625
-0.35,0.175,0.48125,-0.240625
-0.30625,0.153125,-0.39375,0.196875
0.35,-0.175,-0.39375,0.196875
-0.39375,0.196875,-0.13125,0.065625
-0.30625,0.153125,0.525,-0.2625
-0.21875,0.109375,-0.04375,0.021875
0.4375,-0.21875,-0.39375,0.196875
-0.35,0.175,-0.13125,0.065625
-0.2625,0.13125,0.48125,-0.240625
-0.35,0.175,-0.04375,0.021875
-0.30625,0.153125,-0.35,0.175
0.4375,-0.21875,-0.04375,0.021875
-0.35,0.175,0.56875,-0.284375
0.4375,-0.21875,-0.0875,0.04375
-0.21875,0.109375,-0.39375,0.196875
-0.35,0.175,-0.2625,0.13125
-0.4375,0.21875,0.56875,-0.284375
0.39375,-0.196875,0.6125,-0.30625
0.4375,-0.21875,-0.4375,0.21875
0,0,-0.7875,0.39375
-0.2625,0.13125,-0.2625,0.13125
-0.30625,0.153125,0.83125,-0.415625
-0.175,0.0875,0.56875,-0.284375
0.0875,-0.04375,-0.4375,0.21875
-0.30625,0.153125,-0.74375,0.371875
-0.65625,0.328125,0.56875,-0.284375
0.04375,-0.021875,0.83125,-0.415625
0.35,-0.175,-0.56875,0.284375
-0.21875,0.109375,-0.6125,0.30625
0.21875,-0.109375,0,0
0.4375,-0.21875,0.7,-0.35
0.4375,-0.21875,0.6125,-0.30625
0.525,-0.2625,-0.39375,0.196875
0.04375,-0.021875,-0.65625,0.328125
-0.2625,0.13125,-0.2625,0.13125
-0.35,0.175,0.6125,-0.30625
0.4375,-0.21875,0,0
0.4375,-0.21875,-0.35,0.175
0.4375,-0.21875,-0.175,0.0875
0.4375,-0.21875,0.6125,-0.30625
-0.21875,0.109375,0.6125,-0.30625
0.4375,-0.21875,-0.4375,0.21875
-0.875,0.4375,-0.7875,0.39375
0.525,-0.2625,-0.21875,0.109375
-0.39375,0.196875,0.83125,-0.415625
-0.39375,0.196875,0.6125,-0.30625
0.48125,-0.240625,-0.525,0.2625
-0.2625,0.13125,-0.56875,0.284375
0.39375,-0.196875,0.6125,-0.30625
0.30625,-0.153125,0.83125,-0.415625
0.30625,-0.153125,-0.4375,0.21875
0.39375,-0.196875,-0.65625,0.328125
-0.2625,0.13125,-0.13125,0.065625
-0.4375,0.21875,0.6125,-0.30625
0.30625,-0.153125,0.56875,-0.284375
0.7875,-0.39375,-0.39375,0.196875
0.48125,-0.240625,-0.56875,0.284375
-0.175,0.0875,-0.04375,0.021875
-0.30625,0.153125,0.7,-0.35
-0.175,0.0875,0.04375,-0.021875
-0.21875,0.109375,-0.39375,0.196875
-0.30625,0.153125,-0.35,0.175
0.65625,-0.328125,-0.175,0.0875
-0.21875,0.109375,0,0
-0.48125,0.240625,0.56875,-0.284375
-0.21875,0.109375,1,-0.525
0.56875,-0.284375,-0.35,0.175
0.30625,-0.153125,-0.9625,0.48125
-0.4375,0.21875,-0.2625,0.13125
-0.2625,0.13125,0.83125,-0.415625
-0.2625,0.13125,0.9625,-0.48125
0.30625,-0.153125,-0.525,0.2625
0.56875,-0.284375,-0.875,0.4375
-0.2625,0.13125,-0.13125,0.065625
0.39375,-0.196875,0.74375,-0.371875
-0.21875,0.109375,0,0
-0.4375,0.21875,-0.6125,0.30625
-0.48125,0.240625,-0.175,0.0875
0.48125,-0.240625,0.7,-0.35
-0.21875,0.109375,0,0
0.4375,-0.21875,-0.65625,0.328125
-0.48125,0.240625,-0.39375,0.196875
-0.175,0.0875,0.74375,-0.371875
-0.21875,0.109375,0.7,-0.35
-0.30625,0.153125,-0.4375,0.21875
0.56875,-0.284375,-0.6125,0.30625
-0.2625,0.13125,-0.0875,0.04375
0.35,-0.175,0.7,-0.35
0.39375,-0.196875,0.6125,-0.30625
-0.2625,0.13125,-0.39375,0.196875
0.74375,-0.371875,-0.83125,0.415625
-0.21875,0.109375,-0.13125,0.065625
-0.13125,0.065625,0.83125,-0.415625
0.35,-0.175,0.6125,-0.30625
0.39375,-0.196875,-0.39375,0.196875
0.4375,-0.21875,-0.6125,0.30625
-0.175,0.0875,-0.2625,0.13125
0.65625,-0.328125,0.7,-0.35
-0.30625,0.153125,0.56875,-0.284375
-0.21875,0.109375,-0.4375,0.21875
0.4375,-0.21875,-0.35,0.175
-0.175,0.0875,0.525,-0.2625
-0.21875,0.109375,-0.21875,0.109375
-0.30625,0.153125,-0.30625,0.153125
0.39375,-0.196875,0,0
0.35,-0.175,0,0
0.48125,-0.240625,0.56875,-0.284375
-0.13125,0.065625,-0.13125,0.065625
0.56875,-0.284375,-0.39375,0.196875
-0.21875,0.109375,-0.2625,0.13125
-0.21875,0.109375,0.56875,-0.284375
-0.175,0.0875,0.7,-0.35
-0.39375,0.196875,-0.35,0.175
-0.6125,0.30625,-0.83125,0.415625
0.35,-0.175,0,0
-0.175,0.0875,0.83125,-0.415625
-0.525,0.2625,0,0
0.39375,-0.196875,-0.56875,0.284375
-0.48125,0.240625,-0.35,0.175
-0.2625,0.13125,0.6125,-0.30625
0.4375,-0.21875,0.65625,-0.328125
0.39375,-0.196875,-0.35,0.175
-0.21875,0.109375,-0.74375,0.371875
0.39375,-0.196875,-0.04375,0.021875
-0.2625,0.13125,0.7875,-0.39375
0.39375,-0.196875,0,0
-0.175,0.0875,-0.6125,0.30625
-0.2625,0.13125,-0.175,0.0875
-0.21875,0.109375,0.74375,-0.371875
-0.2625,0.13125,0,0
-0.175,0.0875,-0.74375,0.371875
-0.21875,0.109375,-0.4375,0.21875
-0.525,0.2625,0.83125,-0.415625
-0.2625,0.13125,0.74375,-0.371875
-0.2625,0.13125,-0.56875,0.284375
-0.04375,0.021875,-0.65625,0.328125
0.48125,-0.240625,0,0
0.39375,-0.196875,0.56875,-0.284375
0.30625,-0.153125,0.525,-0.2625
0.39375,-0.196875,-0.65625,0.328125
0.30625,-0.153125,-0.65625,0.328125
-0.21875,0.109375,0.6125,-0.30625
0.30625,-0.153125,0.7875,-0.39375
0.48125,-0.240625,-0.65625,0.328125
0.39375,-0.196875,-0.6125,0.30625
-0.21875,0.109375,0.6125,-0.30625
-0.30625,0.153125,0.56875,-0.284375
-0.13125,0.065625,-0.4375,0.21875
0.35,-0.175,-0.7875,0.39375
-0.21875,0.109375,0.525,-0.2625
-0.525,0.2625,0.83125,-0.415625
0.48125,-0.240625,-0.30625,0.153125
-0.2625,0.13125,-0.7,0.35
-0.21875,0.109375,-0.21875,0.109375
-0.21875,0.109375,0.65625,-0.328125
-0.56875,0.284375,1,-0.503125
-0.175,0.0875,-0.35,0.175
-0.2625,0.13125,-0.91875,0.459375
0.2625,-0.13125,-0.35,0.175
-0.21875,0.109375,0.7875,-0.39375
-0.21875,0.109375,-0.04375,0.021875
-0.175,0.0875,-0.525,0.2625
-0.175,0.0875,0,0
-0.6125,0.30625,0.7875,-0.39375
-0.7,0.35,0,0
0.35,-0.175,-0.4375,0.21875
0.35,-0.175,-0.48125,0.240625
0.35,-0.175,0.83125,-0.415625
0.30625,-0.153125,0.7875,-0.39375
-0.0875,0.04375,-0.48125,0.240625
0.21875,-0.109375,-0.7,0.35
-0.56875,0.284375,-0.21875,0.109375
0.175,-0.0875,0.7,-0.35
-0.04375,0.021875,0.56875,-0.284375
-0.175,0.0875,-0.56875,0.284375
-0.6125,0.30625,-0.39375,0.196875
-0.13125,0.065625,0.04375,-0.021875
-0.6125,0.30625,0.56875,-0.284375
0.21875,-0.109375,-0.13125,0.065625
0,0,-0.35,0.175
0.21875,-0.109375,0,0
-0.04375,0.021875,0,0
0.2625,-0.13125,-0.13125,0.065625
0.35,-0.175,0.35,-0.175
0.175,-0.0875,-0.0875,0.04375
0.13125,-0.065625,-0.30625,0.153125
0,0,-0.13125,0.065625
-0.13125,0.065625,0.56875,-0.284375
0.65625,-0.328125,-0.0875,0.04375
-0.13125,0.065625,-0.48125,0.240625
-0.13125,0.065625,-0.2625,0.13125
0.2625,-0.13125,0.48125,-0.240625
0.21875,-0.109375,0.35,-0.175
0.21875,-0.109375,-0.2625,0.13125
0.48125,-0.240625,-0.2625,0.13125
-0.525,0.2625,0.04375,-0.021875
0.13125,-0.065625,0.04375,-0.021875
-0.0875,0.04375,-0.13125,0.065625
-0.04375,0.021875,0.13125,-0.065625
0.4375,-0.21875,0.04375,-0.021875
0.2625,-0.13125,-0.13125,0.065625
-0.2625,0.13125,-0.13125,0.065625
0.13125,-0.065625,0.56875,-0.284375
-0.0875,0.04375,0.56875,-0.284375
-0.74375,0.371875,-0.6125,0.30625
0.2625,-0.13125,-0.6125,0.30625
-0.13125,0.065625,0.0875,-0.04375
-0.6125,0.30625,0.7,-0.35
0,0,-0.13125,0.065625
-0.04375,0.021875,-0.7875,0.39375
0.04375,-0.021875,-0.175,0.0875
-0.7875,0.39375,0.875,-0.4375
-0.04375,0.021875,0.65625,-0.328125
-0.0875,0.04375,-0.4375,0.21875
-0.39375,0.196875,-0.7,0.35
-0.0875,0.04375,0.525,-0.2625
-0.04375,0.021875,0.65625,-0.328125
-0.74375,0.371875,-0.48125,0.240625
-0.65625,0.328125,-0.48125,0.240625
-1,0.546875,0.0875,-0.04375
0.04375,-0.021875,0.65625,-0.328125
0.39375,-0.196875,0.04375,-0.021875
0.39375,-0.196875,-0.525,0.2625
0.39375,-0.196875,-0.35,0.175
0.30625,-0.153125,0.7,-0.35
0.2625,-0.13125,0.6125,-0.30625
0.175,-0.0875,-0.48125,0.240625
0.21875,-0.109375,-0.6125,0.30625
-0.0875,0.04375,0.0875,-0.04375
0.525,-0.2625,0.7,-0.35
0.0875,-0.04375,0,0
-0.7,0.35,-0.7,0.35
0.4375,-0.21875,-0.30625,0.153125
-0.83125,0.415625,1,-0.56875
0,0,0.7,-0.35
-0.7,0.35,-0.9625,0.48125
-0.04375,0.021875,-1,0.525
-0.6125,0.30625,0.13125,-0.065625
0.13125,-0.065625,0.91875,-0.459375
-0.04375,0.021875,0.04375,-0.021875
0,0,-0.6125,0.30625
0.0875,-0.04375,-0.35,0.175
-0.175,0.0875,-0.2625,0.13125
0.13125,-0.065625,0.6125,-0.30625
0.175,-0.0875,0.91875,-0.459375
0.04375,-0.021875,-0.35,0.175
0.04375,-0.021875,-1,0.65625
0.2625,-0.13125,-0.175,0.0875
-0.0875,0.04375,0.65625,-0.328125
-0.74375,0.371875,0.56875,-0.284375
0.0875,-0.04375,-0.2625,0.13125
0.21875,-0.109375,-0.4375,0.21875
-0.175,0.0875,-0.13125,0.065625
0.21875,-0.109375,0.6125,-0.30625
-0.0875,0.04375,0.48125,-0.240625
0.2625,-0.13125,-0.39375,0.196875
0.13125,-0.065625,-0.6125,0.30625
0.04375,-0.021875,0.48125,-0.240625
-0.39375,0.196875,0.65625,-0.328125
-0.74375,0.371875,-0.39375,0.196875
0.21875,-0.109375,-0.83125,0.415625
0.175,-0.0875,0.13125,-0.065625
0.04375,-0.021875,0.7875,-0.39375
-0.56875,0.284375,0.35,-0.175
-0.56875,0.284375,-0.65625,0.328125
0.04375,-0.021875,-0.48125,0.240625
0.04375,-0.021875,0.21875,-0.109375
-0.65625,0.328125,0.65625,-0.328125
-0.04375,0.021875,-0.0875,0.04375
0.13125,-0.065625,-1,0.503125
0.13125,-0.065625,-0.13125,0.065625
0.0875,-0.04375,0.83125,-0.415625
0.2625,-0.13125,0.525,-0.2625
-0.6125,0.30625,-1,0.546875
0.175,-0.0875,-0.875,0.4375
-0.56875,0.284375,0.74375,-0.371875
-0.56875,0.284375,0.875,-0.4375
-0.6125,0.30625,-0.6125,0.30625
0.04375,-0.021875,-1,0.525
0.2625,-0.13125,0.30625,-0.153125
0.21875,-0.109375,0.83125,-0.415625
-0.04375,0.021875,-0.30625,0.153125
0.04375,-0.021875,-0.7,0.35
0,0,0.21875,-0.109375
0.13125,-0.065625,0.7,-0.35
-0.74375,0.371875,0.04375,-0.021875
0.175,-0.0875,-0.7,0.35
-0.35,0.175,-0.0875,0.04375
0.0875,-0.04375,0.48125,-0.240625
0.21875,-0.109375,0.35,-0.175
-0.56875,0.284375,-0.04375,0.021875
-0.39375,0.196875,-0.35,0.175
0.2625,-0.13125,-0.30625,0.153125
0.04375,-0.021875,0.30625,-0.153125
0.175,-0.0875,0.175,-0.0875
0.175,-0.0875,-0.56875,0.284375
0.04375,-0.021875,-0.13125,0.065625
0.175,-0.0875,0.48125,-0.240625
0,0,0,0
0.0875,-0.04375,-0.175,0.0875
0.0875,-0.04375,-0.21875,0.109375
0.21875,-0.109375,0.13125,-0.065625
0.04375,-0.021875,-0.21875,0.109375
0.0875,-0.04375,-0.2625,0.13125
0,0,-0.175,0.0875
0.175,-0.0875,0.2625,-0.13125
0.0875,-0.04375,-0.13125,0.065625
0.13125,-0.065625,0.04375,-0.021875
0.0875,-0.04375,0.04375,-0.021875
0.0875,-0.04375,0.04375,-0.021875
0.0875,-0.04375,0.35,-0.175
-0.6125,0.30625,0.4375,-0.21875
0.0875,-0.04375,-0.525,0.2625
-0.30625,0.153125,-0.6125,0.30625
0.21875,-0.109375,0.4375,-0.21875
0.30625,-0.153125,1,-0.503125
-0.6125,0.30625,-0.7,0.35
0.21875,-0.109375,-1,0.65625
0.0875,-0.04375,0.39375,-0.196875
0.13125,-0.065625,0.65625,-0.328125
-0.56875,0.284375,-0.21875,0.109375
0.13125,-0.065625,-0.74375,0.371875
-0.525,0.2625,-0.175,0.0875
0.0875,-0.04375,0.2625,-0.13125
0.04375,-0.021875,-0.04375,0.021875
-0.56875,0.284375,-0.35,0.175
0,0,-0.21875,0.109375
0.13125,-0.065625,0.13125,-0.065625
0.21875,-0.109375,0.0875,-0.04375
0.13125,-0.065625,0.13125,-0.065625
-0.56875,0.284375,0.04375,-0.021875
0.6125,-0.30625,0.35,-0.175
-0.56875,0.284375,0.13125,-0.065625
0.0875,-0.04375,0.13125,-0.065625
0.0875,-0.04375,0.175,-0.0875
0.13125,-0.065625,0.175,-0.0875
0.0875,-0.04375,0.175,-0.0875
0.175,-0.0875,-0.04375,0.021875
-0.65625,0.328125,-0.0875,0.04375
-0.6125,0.30625,0.04375,-0.021875
0.0875,-0.04375,0,0
0.0875,-0.04375,-0.74375,0.371875
-0.6125,0.30625,-0.13125,0.065625
0.13125,-0.065625,0.30625,-0.153125
0.21875,-0.109375,0.13125,-0.065625
0.175,-0.0875,0.2625,-0.13125
-0.56875,0.284375,-0.0875,0.04375
0.13125,-0.065625,-0.2625,0.13125
-0.525,0.2625,-0.21875,0.109375
-0.56875,0.284375,-0.175,0.0875
-0.6125,0.30625,-0.175,0.0875
-0.74375,0.371875,-0.04375,0.021875
0.0875,-0.04375,0.21875,-0.109375
0.04375,-0.021875,0.2625,-0.13125
0.13125,-0.065625,-0.04375,0.021875
0.13125,-0.065625,0.13125,-0.065625
0.0875,-0.04375,0.13125,-0.065625
0.0875,-0.04375,0.30625,-0.153125
0.0875,-0.04375,0.2625,-0.13125
-0.48125,0.240625,0.0875,-0.04375
0.175,-0.0875,0.04375,-0.021875
0.30625,-0.153125,0.56875,-0.284375
0.175,-0.0875,0,0
0.21875,-0.109375,-0.525,0.2625
0.0875,-0.04375,-0.39375,0.196875
-0.6125,0.30625,0.04375,-0.021875
-0.6125,0.30625,0.0875,-0.04375
0.35,-0.175,0.04375,-0.021875
0.35,-0.175,-0.04375,0.021875
0.13125,-0.065625,0.13125,-0.065625
0.13125,-0.065625,0.0875,-0.04375
0.0875,-0.04375,-0.04375,0.021875
0.2625,-0.13125,0.13125,-0.065625
0.21875,-0.109375,0.175,-0.0875
0.21875,-0.109375,0.175,-0.0875
-0.6125,0.30625,0.13125,-0.065625
-0.6125,0.30625,0.0875,-0.04375
0.04375,-0.021875,0.13125,-0.065625
0.0875,-0.04375,-0.04375,0.021875
0.0875,-0.04375,-0.0875,0.04375
0.2625,-0.13125,-0.0875,0.04375
0.35,-0.175,-0.13125,0.065625
0.175,-0.0875,0.0875,-0.04375
0.39375,-0.196875,0.0875,-0.04375
-0.65625,0.328125,-0.175,0.0875
-0.56875,0.284375,0,0
0.0875,-0.04375,0.2625,-0.13125
0.13125,-0.065625,-0.2625,0.13125
0.13125,-0.065625,-0.30625,0.153125
0.13125,-0.065625,0.0875,-0.04375
0.0875,-0.04375,-0.175,0.0875
0.13125,-0.065625,-0.30625,0.153125
0.175,-0.0875,0.175,-0.0875
0.0875,-0.04375,0.0875,-0.04375
-0.74375,0.371875,-0.04375,0.021875
0.0875,-0.04375,0.04375,-0.021875
0.13125,-0.065625,0.04375,-0.021875
0.175,-0.0875,0.2625,-0.13125
0.0875,-0.04375,0.2625,-0.13125
0.04375,-0.021875,0.04375,-0.021875
0.13125,-0.065625,0.21875,-0.109375
0.175,-0.0875,0.13125,-0.065625
0.30625,-0.153125,-0.525,0.2625
0.30625,-0.153125,-0.7875,0.39375
0.04375,-0.021875,0.48125,-0.240625
0.30625,-0.153125,0.56875,-0.284375
0.30625,-0.153125,0.04375,-0.021875
-0.4375,0.21875,-0.83125,0.415625
0.04375,-0.021875,-0.04375,0.021875
0.13125,-0.065625,0.525,-0.2625
0.13125,-0.065625,0.0875,-0.04375
-0.48125,0.240625,-0.65625,0.328125
0.0875,-0.04375,-0.35,0.175
0.13125,-0.065625,0.30625,-0.153125
0.04375,-0.021875,0.04375,-0.021875
0.175,-0.0875,-0.39375,0.196875
0.0875,-0.04375,-0.13125,0.065625
-0.7875,0.39375,0.21875,-0.109375
0.04375,-0.021875,0.21875,-0.109375
-0.6125,0.30625,0.13125,-0.065625
0,0,0.04375,-0.021875
-0.6125,0.30625,0.175,-0.0875
-0.83125,0.415625,0.39375,-0.196875
-0.2625,0.13125,0.21875,-0.109375
0.0875,-0.04375,-0.56875,0.284375
0.0875,-0.04375,-0.21875,0.109375
0.13125,-0.065625,0.65625,-0.328125
0.04375,-0.021875,0.56875,-0.284375
0.0875,-0.04375,-0.35,0.175
0.0875,-0.04375,-0.48125,0.240625
0.0875,-0.04375,-0.04375,0.021875
0.13125,-0.065625,0.48125,-0.240625
0.175,-0.0875,0,0
0.04375,-0.021875,-0.21875,0.109375
0.35,-0.175,-0.13125,0.065625
0.0875,-0.04375,-0.04375,0.021875
0.2625,-0.13125,0.2625,-0.13125
-0.56875,0.284375,-0.04375,0.021875
0.175,-0.0875,-0.30625,0.153125
0.04375,-0.021875,-0.2625,0.13125
0.04375,-0.021875,0.04375,-0.021875
0.13125,-0.065625,0.04375,-0.021875
-0.04375,0.021875,-0.21875,0.109375
-0.65625,0.328125,-0.21875,0.109375
0.4375,-0.21875,0.21875,-0.109375
0,0,0.21875,-0.109375
-0.7875,0.39375,-0.30625,0.153125
0.0875,-0.04375,-0.30625,0.153125
-0.0875,0.04375,-0.21875,0.109375
0.175,-0.0875,0.04375,-0.021875
0.30625,-0.153125,0.04375,-0.021875
-0.0875,0.04375,0.175,-0.0875
0.13125,-0.065625,-0.21875,0.109375
-0.7,0.35,-0.21875,0.109375
0.2625,-0.13125,0.0875,-0.04375
0.13125,-0.065625,0.35,-0.175
0.875,-0.4375,0.35,-0.175
0.21875,-0.109375,0.0875,-0.04375
0.175,-0.0875,0.13125,-0.065625
0.65625,-0.328125,0.21875,-0.109375
0.56875,-0.284375,0.21875,-0.109375
0.39375,-0.196875,-0.35,0.175
0.35,-0.175,-0.21875,0.109375
-0.04375,0.021875,0.13125,-0.065625
-0.04375,0.021875,0.39375,-0.196875
0.39375,-0.196875,0.04375,-0.021875
-0.175,0.0875,-0.7875,0.39375
0.30625,-0.153125,-0.175,0.0875
0.65625,-0.328125,0.65625,-0.328125
0.21875,-0.109375,0.13125,-0.065625
0.56875,-0.284375,-0.13125,0.065625
0.39375,-0.196875,-0.35,0.175
0.39375,-0.196875,-0.13125,0.065625
0.35,-0.175,0.175,-0.0875
-0.6125,0.30625,-0.13125,0.065625
0.35,-0.175,-0.4375,0.21875
0.4375,-0.21875,-0.21875,0.109375
0.175,-0.0875,-0.0875,0.04375
0.2625,-0.13125,0.175,-0.0875
0.35,-0.175,-0.04375,0.021875
0.2625,-0.13125,-0.0875,0.04375
0.48125,-0.240625,0.21875,-0.109375
0.30625,-0.153125,0.30625,-0.153125
0.04375,-0.021875,0.13125,-0.065625
0.39375,-0.196875,0.04375,-0.021875
0.35,-0.175,0.13125,-0.065625
0.39375,-0.196875,0.30625,-0.153125
0.39375,-0.196875,0.2625,-0.13125
0.39375,-0.196875,-0.21875,0.109375
0.30625,-0.153125,0.0875,-0.04375
0.4375,-0.21875,0.35,-0.175
0.30625,-0.153125,0,0
0.56875,-0.284375,-0.7875,0.39375
-0.2625,0.13125,0,0
0.39375,-0.196875,0.48125,-0.240625
0.35,-0.175,0.0875,-0.04375
0.4375,-0.21875,-0.48125,0.240625
0.35,-0.175,-0.21875,0.109375
0.30625,-0.153125,0.13125,-0.065625
0.6125,-0.30625,0.13125,-0.065625
0.30625,-0.153125,-0.30625,0.153125
0.48125,-0.240625,-0.35,0.175
-0.39375,0.196875,-0.13125,0.065625
0.48125,-0.240625,0.13125,-0.065625
0.39375,-0.196875,-0.2625,0.13125
0.39375,-0.196875,-0.13125,0.065625
